-5.92;-32.98
-8.38;-33.01
-5.00;-33.25
-2.32;-33.21
2.33;-32.97
-2.68;-33.03
-5.13;-33.22
-0.92;-33.15
1.28;-33.36
3.91;-33.15
-1.95;-33.28
-3.51;-33.24
-2.35;-33.50
-0.25;-33.35
4.86;-33.38
-0.57;-33.32
-3.55;-33.37
-1.34;-33.36
1.96;-33.45
4.58;-33.22
-2.15;-33.25
-1.87;-33.15
-2.81;-33.48
-0.70;-33.36
1.10;-33.22
-3.19;-33.13
-5.88;-33.19
-4.83;-33.12
-0.03;-33.08
2.39;-33.03
-2.42;-33.00
-2.16;-32.86
-4.56;-33.19
-1.52;-33.04
3.44;-33.10
1.85;-32.94
-2.11;-32.97
-3.21;-32.94
1.49;-33.02
3.32;-32.89
1.09;-32.86
0.86;-32.71
-4.16;-33.03
-0.46;-32.98
2.31;-32.93
4.30;-32.74
-0.16;-32.78
-1.37;-32.76
0.88;-32.96
1.54;-32.86
1.85;-32.81
0.94;-32.68
-5.02;-32.79
-2.35;-32.76
0.66;-32.75
4.34;-32.98
0.83;-32.91
1.19;-32.74
-2.26;-32.95
1.15;-32.86
2.86;-32.71
1.63;-32.60
-3.39;-32.66
-4.38;-32.74
1.97;-32.63
0.71;-32.85
3.84;-32.61
2.60;-32.57
-2.03;-32.63
-0.97;-32.71
3.92;-32.56
3.43;-32.93
0.14;-32.77
-3.11;-32.90
-3.60;-33.06
-2.21;-33.05
4.39;-32.86
2.47;-32.67
-3.73;-32.82
-1.34;-32.73
-0.34;-32.80
0.18;-32.75
0.03;-32.63
-1.88;-32.54
-3.97;-32.99
1.49;-32.81
3.82;-33.12
4.91;-32.83
1.61;-32.92
-1.54;-32.77
-0.73;-33.21
-1.12;-33.19
7.13;-33.32
1.59;-33.30
0.40;-33.21
-1.95;-33.25
4.83;-33.09
2.39;-33.27
3.24;-33.11
-2.06;-33.24
-3.18;-33.30
1.33;-33.28
0.39;-33.25
3.78;-33.32
2.49;-33.09
-0.34;-33.20
-1.46;-33.27
3.91;-33.15
2.17;-33.02
-0.06;-32.92
-4.26;-32.97
-2.45;-33.00
-0.65;-33.00
4.33;-33.26
4.46;-33.00
-1.04;-33.23
-1.51;-33.09
